video_id,word,count
XsLpg0fBfvE,congore,1
XsLpg0fBfvE,cuan,1
XsLpg0fBfvE,cuma,1
XsLpg0fBfvE,cuman,1
XsLpg0fBfvE,curi,1
XsLpg0fBfvE,dah,1
XsLpg0fBfvE,dan,1
XsLpg0fBfvE,dasar,1
XsLpg0fBfvE,debat,1
XsLpg0fBfvE,depan,1
XsLpg0fBfvE,dgn,1
XsLpg0fBfvE,diadikit,1
XsLpg0fBfvE,diam,1
XsLpg0fBfvE,dikit,1
XsLpg0fBfvE,dkentut,1
XsLpg0fBfvE,dosa,1
XsLpg0fBfvE,dri,1
XsLpg0fBfvE,duga,1
XsLpg0fBfvE,dukungmendukung,1
XsLpg0fBfvE,dulu,1
XsLpg0fBfvE,emnk,1
XsLpg0fBfvE,fakta,1
XsLpg0fBfvE,fitnah,1
XsLpg0fBfvE,g,1
XsLpg0fBfvE,gajah,1
XsLpg0fBfvE,ganjar,1
XsLpg0fBfvE,gantigantian,1
XsLpg0fBfvE,gas,1
XsLpg0fBfvE,gasak,1
XsLpg0fBfvE,geli,1
XsLpg0fBfvE,gembira,1
XsLpg0fBfvE,gentayang,1
XsLpg0fBfvE,gentleman,1
XsLpg0fBfvE,gerak,1
XsLpg0fBfvE,gerombol,1
XsLpg0fBfvE,gesek,1
XsLpg0fBfvE,geser,1
XsLpg0fBfvE,gg,1
XsLpg0fBfvE,ginibanyak,1
XsLpg0fBfvE,goib,1
XsLpg0fBfvE,gonggong,1
XsLpg0fBfvE,gosok,1
XsLpg0fBfvE,gt,1
XsLpg0fBfvE,gtu,1
XsLpg0fBfvE,guoblok,1
XsLpg0fBfvE,gw,1
XsLpg0fBfvE,gx,1
XsLpg0fBfvE,hahaha,1
XsLpg0fBfvE,hahahaa,1
XsLpg0fBfvE,hal,1
XsLpg0fBfvE,hancur,1
XsLpg0fBfvE,harap,1
XsLpg0fBfvE,hasut,1
XsLpg0fBfvE,hendak,1
XsLpg0fBfvE,herean,1
XsLpg0fBfvE,hibur,1
XsLpg0fBfvE,hidup,1
XsLpg0fBfvE,hilang,1
XsLpg0fBfvE,hnya,1
XsLpg0fBfvE,hrs,1
XsLpg0fBfvE,ibarat,1
XsLpg0fBfvE,ijasa,1
XsLpg0fBfvE,ikut,1
XsLpg0fBfvE,istri,1
XsLpg0fBfvE,jabat,1
XsLpg0fBfvE,jahat,1
XsLpg0fBfvE,jangan,1
XsLpg0fBfvE,jatah,1
XsLpg0fBfvE,jatuh,1
XsLpg0fBfvE,jebak,1
XsLpg0fBfvE,jerdas,1
XsLpg0fBfvE,jg,1
XsLpg0fBfvE,jgn,1
XsLpg0fBfvE,jijik,1
XsLpg0fBfvE,jilat,1
XsLpg0fBfvE,jiwa,1
XsLpg0fBfvE,jokman,1
XsLpg0fBfvE,judul,1
XsLpg0fBfvE,justru,1
XsLpg0fBfvE,kabur,1
XsLpg0fBfvE,kah,1
XsLpg0fBfvE,kaki,1
XsLpg0fBfvE,kali,1
XsLpg0fBfvE,kanakkanak,1
XsLpg0fBfvE,karat,1
XsLpg0fBfvE,karena,1
XsLpg0fBfvE,karma,1
XsLpg0fBfvE,kasih,1
XsLpg0fBfvE,kau,1
XsLpg0fBfvE,kaum,1
XsLpg0fBfvE,kayu,1
XsLpg0fBfvE,kecil,1
XsLpg0fBfvE,kek,1
XsLpg0fBfvE,keluarga,1
XsLpg0fBfvE,kemanatong,1
XsLpg0fBfvE,kena,1
XsLpg0fBfvE,kesini,1
XsLpg0fBfvE,ketawabenar,1
XsLpg0fBfvE,ketua,1
XsLpg0fBfvE,kh,1
XsLpg0fBfvE,kita,1
XsLpg0fBfvE,kl,1
XsLpg0fBfvE,klau,1
XsLpg0fBfvE,klu,1
XsLpg0fBfvE,kluarga,1
XsLpg0fBfvE,ko,1
XsLpg0fBfvE,koar,1
XsLpg0fBfvE,kocak,1
XsLpg0fBfvE,komisaris,1
XsLpg0fBfvE,konyol,1
XsLpg0fBfvE,koplaks,1
XsLpg0fBfvE,koq,1
XsLpg0fBfvE,koyo,1
XsLpg0fBfvE,kpu,1
XsLpg0fBfvE,kritik,1
XsLpg0fBfvE,ktanya,1
XsLpg0fBfvE,kuasa,1
XsLpg0fBfvE,kuat,1
XsLpg0fBfvE,kyknta,1
XsLpg0fBfvE,la,1
XsLpg0fBfvE,laen,1
XsLpg0fBfvE,lagipanci,1
XsLpg0fBfvE,lah,1
XsLpg0fBfvE,lain,1
XsLpg0fBfvE,laku,1
XsLpg0fBfvE,lama,1
XsLpg0fBfvE,lambat,1
XsLpg0fBfvE,langgar,1
XsLpg0fBfvE,langit,1
XsLpg0fBfvE,lawak,1
XsLpg0fBfvE,leher,1
XsLpg0fBfvE,leluasa,1
XsLpg0fBfvE,lengkap,1
XsLpg0fBfvE,lgi,1
XsLpg0fBfvE,lgs,1
XsLpg0fBfvE,lo,1
XsLpg0fBfvE,logika,1
XsLpg0fBfvE,logis,1
XsLpg0fBfvE,lomentar,1
XsLpg0fBfvE,lwan,1
XsLpg0fBfvE,m,1
XsLpg0fBfvE,main,1
XsLpg0fBfvE,majikan,1
XsLpg0fBfvE,makanya,1
XsLpg0fBfvE,makzul,1
XsLpg0fBfvE,malaysia,1
XsLpg0fBfvE,mama,1
XsLpg0fBfvE,mantap,1
XsLpg0fBfvE,manusia,1
XsLpg0fBfvE,margarito,1
XsLpg0fBfvE,masa,1
XsLpg0fBfvE,masak,1
XsLpg0fBfvE,masalah,1
XsLpg0fBfvE,masyarakat,1
XsLpg0fBfvE,mata,1
XsLpg0fBfvE,media,1
XsLpg0fBfvE,mediacepat,1
XsLpg0fBfvE,melihatbya,1
XsLpg0fBfvE,membackup,1
XsLpg0fBfvE,menang,1
XsLpg0fBfvE,menjdi,1
XsLpg0fBfvE,meski,1
XsLpg0fBfvE,mesti,1
XsLpg0fBfvE,minimal,1
XsLpg0fBfvE,mirip,1
XsLpg0fBfvE,miris,1
XsLpg0fBfvE,mlnjutkan,1
XsLpg0fBfvE,mmbahas,1
XsLpg0fBfvE,mmboikot,1
XsLpg0fBfvE,mnjerat,1
XsLpg0fBfvE,mo,1
XsLpg0fBfvE,motong,1
XsLpg0fBfvE,mudah,1
XsLpg0fBfvE,muka,1
XsLpg0fBfvE,mulu,1
XsLpg0fBfvE,mulut,1
XsLpg0fBfvE,mumpung,1
XsLpg0fBfvE,mungkin,1
XsLpg0fBfvE,mutu,1
XsLpg0fBfvE,nafas,1
XsLpg0fBfvE,nama,1
XsLpg0fBfvE,namyajuga,1
XsLpg0fBfvE,ndak,1
XsLpg0fBfvE,ndower,1
XsLpg0fBfvE,negerikuwapres,1
XsLpg0fBfvE,nepal,1
XsLpg0fBfvE,netral,1
XsLpg0fBfvE,ngakakk,1
XsLpg0fBfvE,ngapain,1
