video_id,comment,published_at
9e5M1bDvhTA,"Hati hati jendral.
Tolong agar lebih bijak bertindak.
Masyarakat saat ini tidak sedang diam.

Masyarakat sedang fokus mengawal tindak lanjut tuntutan aspirasi yang mereka suarakan kepada pemerintah.

Dan pemerintah sedang fokus menindaklanjuti tuntutan masyarakat disertai pertimbangan yang matang.

Jangan memancing di air keruh.
Jangan meremehkan air yang tenang.

Jikalau pun Ferry Irwandi bersalah.
Cukuplah klarifikasi letak kesalahannya.
Tidak perlu melakukan kriminalisasi.
Nama beliau saat ini sedang diatas angin dan sangat berpengaruh dimata para pejuang aksi kemarin.

Mari kita menjaga kesatuan.
Jangan memancing perpecahan kembali.

TNI bersama masyarakat.
Tolong, Tetap jaga nama baik TNI dimata masyarakat.

Semoga Indonesia selalu baik baik saja.",2025-09-09T00:46:09Z
9e5M1bDvhTA,Udah hadapi aja,2025-09-09T00:44:30Z
9e5M1bDvhTA,jangan gentar mas rakyat dibelakang mendukungmu,2025-09-09T00:44:09Z
9e5M1bDvhTA,Emang lu perlu ditangkap karena lu bikin sial negara Indonesia,2025-09-09T00:43:54Z
9e5M1bDvhTA,provokator ga mutu alianzi aniss,2025-09-09T00:43:45Z
9e5M1bDvhTA,🔥🔥🔥🔥🔥,2025-09-09T00:39:45Z
9e5M1bDvhTA,Marine VS  Ferry D Irwandi,2025-09-09T00:37:44Z
9e5M1bDvhTA,"Kekuasaan 'memframing' utk menjerat mangsa? Isu asas gak kelar2,pengkritik mula diincar",2025-09-09T00:33:51Z
9e5M1bDvhTA,"Sepertinya ada pihak yg kekeh darurat militer harus diterapkan sepertinya, skenario begini akhirnya menyebabkan benrokan antara rakyat dan TNI. Bisa terjadi kerusuhan besar",2025-09-09T00:32:51Z
9e5M1bDvhTA,"halo TNI mending lu ngurusin bocah bocah yang tawuran dan begal dah ! 
*BIAR INDONESIA AMAN NYAMAN* gak harus nunggu perang lawan negara lainkan untuk membentuk TNI ??",2025-09-09T00:28:57Z
9e5M1bDvhTA,Mayoritas yg komen dukung mas ferry irwandi.,2025-09-09T00:28:20Z
9e5M1bDvhTA,Kl alasan provokator..jgn cmn beberapa org..bersihkan semua..biar fair disosmed banyak..termasuk judol,2025-09-09T00:28:14Z
9e5M1bDvhTA,Jenderal2an,2025-09-09T00:22:30Z
9e5M1bDvhTA,Pagar laut yang jelas-jelas merugikan rakyat dan negara sampai sekarang g jelas kasusnya tapi giliran rakyat biasa yang menyampaikan pendapat dan keresahannya langsung diproses hukum. Lalu dimana letak keadilan sosial bagi seluruh rakyat Indonesia 😇,2025-09-09T00:19:37Z
9e5M1bDvhTA,lihat ini jadi inget lagu abri ciptaan mahasiswa  waktu jaman 98 😂 blunder lo pak jendral!! 😅,2025-09-09T00:16:24Z
9e5M1bDvhTA,si TNI ber 3 itu atas nama pribadi atas nama institusinya atau bagaimana?? kok bangga sekali menjadi bagian yg bekerjasama dgn pemain hukum yg hoby dan budayanya kriminalisasi. sebagian masalahnya padahal ada di tingkat elit TNI itu sendiri tapi rakyat tetap tumbalnya,2025-09-09T00:14:42Z
9e5M1bDvhTA,"Statement blunder pertama:

Habis ketemu polisi lalu menetapkan FI ada dugaan tindakan pidana = ada deal dibalik pintu

Statement blunder kedua:
Tim cyber TNI Indonesia tidak bisa kontak menghubungi FI = hal paling gampang untuk dilakukan",2025-09-09T00:13:13Z
9e5M1bDvhTA,"Jendral aneh,JUDOL TUH JUDOL KAPAN DI BRANTAS!!!
APA G BERANI KARENA DAPET ALIRAN DANA?!",2025-09-09T00:10:49Z
